City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Gros Islet,LC,80.47,broken clouds,14.0667,-60.95,Coco Palm Resort
369,Chuy,UY,64.56,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
372,Kaeo,NZ,77.32,clear sky,-35.1,173.7833,Bushido Lodge
374,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
375,Kimbe,PG,77.05,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
379,Sao Filipe,CV,71.67,overcast clouds,14.8961,-24.4956,Hotel Xaguate
386,Bambous Virieux,MU,73.22,clear sky,-20.3428,57.7575,Casa Tia Villa
388,Perth,AU,72.03,clear sky,-31.9333,115.8333,Beatty Lodge
390,Takoradi,GH,80.22,broken clouds,4.8845,-1.7554,Raybow International Hotel
392,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
393,Daoukro,CI,69.64,overcast clouds,7.0591,-3.9631,Komenan brou roseline
394,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
398,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
399,Kassala,SD,72.79,clear sky,15.451,36.4,Amassi Hotel Gash
400,Presidencia Roque Saenz Pena,AR,79.5,clear sky,-26.7852,-60.4388,Hotel Aconcagua
401,Clearwater,US,75.9,scattered clouds,27.9659,-82.8001,Shephard's Beach Resort
402,Castelo Do Piaui,BR,84.92,broken clouds,-5.3222,-41.5525,Nobre Hotel
405,Santa Fe,AR,84.99,clear sky,-31.6333,-60.7,Conquistador Hotel
406,Santa Cruz De La Palma,ES,68.14,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
407,Souillac,MU,73.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
408,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
409,Rawson,AR,61.61,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
422,Lucapa,AO,64.22,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
424,Balayong,PH,81.23,overcast clouds,9.4744,123.0623,Inawasan Family Camping Ground
425,Natitingou,BJ,69.85,clear sky,10.3042,1.3796,Auberge Centrale
428,Coracao De Jesus,BR,72.32,moderate rain,-16.6853,-44.365,Hotel Neves
