City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,Lewiston,1,US,2021-12-15 00:40:33,52,44.1003,-70.2148,32.49,4.61
306,Ralivka,98,UA,2021-12-15 00:45:02,95,49.5005,23.2406,24.01,4.9
307,Havelock,0,US,2021-12-15 00:45:03,73,34.8791,-76.9013,51.94,6.2
308,Abu Samrah,44,SY,2021-12-15 00:45:03,79,35.3029,37.1841,52.14,5.06
309,Lumberton,0,US,2021-12-15 00:45:03,48,34.6182,-79.0086,51.89,6.67
310,Rognan,100,NO,2021-12-15 00:45:04,85,67.0953,15.3878,41.14,9.89
311,Seoul,90,KR,2021-12-15 00:42:27,93,37.5683,126.9778,42.37,2.3
312,Lata,5,PT,2021-12-15 00:45:04,68,40.1629,-8.3327,47.8,4.79
313,Belmonte,100,BR,2021-12-15 00:46:04,87,-15.8631,-38.8828,77.5,8.16
314,Popondetta,100,PG,2021-12-15 00:46:05,69,-8.7537,148.2534,87.39,1.95
315,Nanortalik,100,GL,2021-12-15 00:46:05,85,60.1432,-45.2371,32.14,1.68
316,Eenhana,100,NA,2021-12-15 00:46:05,77,-17.4667,16.3333,69.94,5.41
317,Den Helder,90,NL,2021-12-15 00:46:06,95,52.9599,4.7593,51.78,13.0
318,Grabs,91,CH,2021-12-15 00:46:06,98,47.1825,9.4439,41.0,1.01
319,Hay River,20,CA,2021-12-15 00:45:04,77,60.8156,-115.7999,-13.02,5.75
320,Ewa Beach,75,US,2021-12-15 00:43:59,70,21.3156,-158.0072,82.35,10.36
321,Padang,99,ID,2021-12-15 00:46:07,88,-0.9492,100.3543,78.85,3.44
322,Paragould,100,US,2021-12-15 00:46:07,89,36.0584,-90.4973,61.84,9.24
323,Nouadhibou,0,MR,2021-12-15 00:46:07,88,20.931,-17.0347,62.58,11.5
324,Goderich,100,CA,2021-12-15 00:46:08,70,43.7501,-81.7165,38.21,10.36
325,Yerofey Pavlovich,10,RU,2021-12-15 00:46:08,79,53.9667,121.9667,-16.51,3.27
326,Champerico,10,GT,2021-12-15 00:46:08,74,14.3,-91.9167,84.74,5.44
327,Vila Velha,0,BR,2021-12-15 00:46:09,88,-20.3297,-40.2925,78.75,4.0
328,Saskylakh,90,RU,2021-12-15 00:46:09,95,71.9167,114.0833,-22.04,4.63
329,Vytegra,100,RU,2021-12-15 00:46:09,95,61.0064,36.4481,27.43,11.01
330,Acajutla,2,SV,2021-12-15 00:46:09,65,13.5928,-89.8275,86.34,1.97
331,Golden,40,US,2021-12-15 00:44:57,32,39.7555,-105.2211,57.69,1.99
332,Progreso,81,MX,2021-12-15 00:45:15,80,21.2833,-89.6667,80.11,18.03
333,Zhezkazgan,0,KZ,2021-12-15 00:46:14,78,47.8043,67.7144,3.18,8.95
334,Castro,100,BR,2021-12-15 00:46:14,99,-24.7911,-50.0119,66.29,5.79
335,Xiaoweizhai,100,CN,2021-12-15 00:46:14,94,26.1903,107.5125,52.05,3.02
336,Haines Junction,99,CA,2021-12-15 00:46:15,69,60.7522,-137.5108,-18.45,1.14
337,Pitimbu,89,BR,2021-12-15 00:42:53,76,-7.4706,-34.8086,79.39,9.66
338,Deputatskiy,100,RU,2021-12-15 00:36:17,99,69.3,139.9,-25.58,0.38
339,Hervey Bay,0,AU,2021-12-15 00:46:15,61,-25.2986,152.8535,87.04,4.0
340,North Bend,90,US,2021-12-15 00:46:16,91,43.4065,-124.2243,42.71,9.22
341,Angoram,100,PG,2021-12-15 00:46:16,83,-4.0625,144.0661,81.18,3.02
342,Tambura,95,SS,2021-12-15 00:46:17,35,5.6,27.4667,77.99,2.51
343,South Shields,20,GB,2021-12-15 00:46:17,82,54.9986,-1.4323,48.85,8.05
344,Coquimbo,0,CL,2021-12-15 00:46:18,77,-29.9533,-71.3436,62.33,10.36
345,Sangar,100,RU,2021-12-15 00:46:18,95,63.9242,127.4739,-33.77,6.24
346,Santa Maria,90,BR,2021-12-15 00:45:18,94,-29.6842,-53.8069,65.5,10.36
347,Kattivakkam,47,IN,2021-12-15 00:46:18,78,13.2167,80.3167,81.07,13.2
348,Aksu,100,CN,2021-12-15 00:46:19,52,41.1231,80.2644,24.22,3.71
349,Wanaka,100,NZ,2021-12-15 00:46:19,79,-44.7,169.15,58.1,1.01
350,Tuatapere,100,NZ,2021-12-15 00:46:19,52,-46.1333,167.6833,67.82,8.14
351,Fort Nelson,40,CA,2021-12-15 00:46:20,76,58.8053,-122.7002,-24.21,0.0
352,Bathsheba,40,BB,2021-12-15 00:46:20,74,13.2167,-59.5167,81.21,19.57
353,San Juan,77,AR,2021-12-15 00:46:20,48,-31.5375,-68.5364,72.66,14.43
354,Tairua,100,NZ,2021-12-15 00:46:21,93,-37.0167,175.85,68.09,10.11
355,Plouzane,90,FR,2021-12-15 00:46:21,96,48.3833,-4.6167,50.32,3.44
356,Xining,44,CN,2021-12-15 00:46:21,41,36.6167,101.7667,21.85,0.76
357,Kurumkan,31,RU,2021-12-15 00:46:22,93,54.3,110.3,-17.01,4.36
358,Bensonville,68,LR,2021-12-15 00:46:22,90,6.4461,-10.6125,76.91,3.42
359,Yar-Sale,92,RU,2021-12-15 00:46:22,97,66.8333,70.8333,5.5,6.17
360,Adre,97,TD,2021-12-15 00:46:23,33,13.4667,22.2,69.33,9.93
361,Fortuna,1,US,2021-12-15 00:46:23,86,40.5982,-124.1573,45.66,1.01
362,Cooma,94,AU,2021-12-15 00:46:23,41,-36.2333,149.1333,78.57,16.11
363,Alyangula,15,AU,2021-12-15 00:47:23,66,-13.8483,136.4192,89.47,9.22
364,Ayan,97,RU,2021-12-15 00:47:24,68,56.45,138.1667,-7.67,19.82
365,Sabang,94,ID,2021-12-15 00:47:24,75,5.8933,95.3214,82.27,17.13
366,Asfi,100,MA,2021-12-15 00:47:24,59,32.2994,-9.2372,61.07,5.64
367,Amos,100,CA,2021-12-15 00:47:25,96,48.5669,-78.1162,13.98,1.81
368,Auki,100,SB,2021-12-15 00:47:25,84,-8.7676,160.7034,83.32,10.13
369,Quba,63,AZ,2021-12-15 00:47:26,53,41.3626,48.5152,43.97,4.79
370,Ulverstone,100,AU,2021-12-15 00:44:59,60,-41.15,146.1667,68.29,8.68
371,Aktau,21,KZ,2021-12-15 00:47:26,71,43.65,51.2,27.18,28.63
372,Bose,97,IT,2021-12-15 00:47:26,76,45.4612,8.0137,42.17,2.68
373,Asasa,69,ET,2021-12-15 00:47:27,76,7.1,39.2,52.39,3.44
374,Awbari,18,LY,2021-12-15 00:47:27,58,26.5921,12.7805,45.03,3.33
375,Idil,5,TR,2021-12-15 00:47:27,33,37.3411,41.8895,47.05,5.01
376,Bundaberg,0,AU,2021-12-15 00:47:28,44,-24.85,152.35,87.22,5.01
377,Warrnambool,0,AU,2021-12-15 00:47:28,64,-38.3833,142.4833,65.8,13.02
378,Pevek,96,RU,2021-12-15 00:47:28,90,69.7008,170.3133,-25.02,3.49
